street_names;short_names
Улица Товарный двор (станция Рязань-2);Товарный двор ( Рязань-2)
Улица Толстого;Толстого
Торговый городок;Торговый городок
Тракторная улица;Тракторная
Транспортный переулок;Транспортный
Трехреченская улица;Трехреченская
Троллейбусный переулок;Троллейбусный
Трубежная улица;Трубежная
Трубежная набережная;Трубежная набережная
Трудовая улица;Трудовая
Улица Тургенева;Тургенева
Улица Тюленина;Тюленина
Тюшевская улица;Тюшевская
Улица Урицкого;Урицкого
Урожайная улица;Урожайная
Усадебная улица;Усадебная
Улица Ушакова;Ушакова
Проезд Ушинского;пр-д Ушинского
Улица Ушинского;ул. Ушинского
Улица Фирсова;Фирсова
Улица Фрунзе;Фрунзе
Улица Фурманова;Фурманова
Улица Халтурина;Халтурина
Хиринская улица;Хиринская
Хиринский проезд;Хиринский
Хлебная улица;Хлебная
Поселок Храпово; Храпово
Улица Хрюкина;Хрюкина
Цветной бульвар;Цветной
Центральная улица;Центральная
Улица Циолковского;Циолковского
Улица Чайкиной;Чайкиной
Улица Чапаева;Чапаева
Улица Чапаева (поселок Канищево);Чапаева ( Канищево)
Поселок Черезово-Песочня; Черезово-Песочня
Чернобаевская улица;Чернобаевская
Черновицкая улица;Черновицкая
Улица Чернышевского;Чернышевского
Улица Чехова;Чехова
Улица Чкалова;Чкалова
Проезд Шабулина;Шабулина
Шаповская улица;Шаповская
Улица Шевцовой;Шевцовой
Улица Шевченко;Шевченко
Поселок Шереметьево-Песочня;Шереметьево-Песочня
Шереметьевская улица;Шереметьевская
Шереметьевский проезд;Шереметьевский
Школьная улица (поселок Канищево);Школьная (Канищево)
Школьная улица (поселок Недостоево);Школьная (Недостоево)
Школьная улица (поселок Семчино);Школьная (Семчино)
Школьная улица (поселок Соколовка);Школьная (Соколовка)
Школьная улица (поселок Солотча);Школьная (Солотча)
Шоссейный переулок;Шоссейный
Поселок Шпалозавода; Шпалозавода
Улица Щедрина;ул. Щедрина
Проезд Щедрина;пр-д Щедрина
Улица Щорса;Щорса
Поселок Элеватор; Элеватор
Элеваторная улица;Элеваторная
Улица Элеваторный заулок;Элеваторный заулок
Электрозаводская улица;Электрозаводская
Улица Энгельса;Энгельса
Энергетическая улица;Энергетическая
Юбилейная улица;Юбилейная
Юбилейный поселок;Юбилейный 
Южный переулок;Южный
Улица Юннатов;Юннатов
Яблоневая улица;Яблоневая
Проезд Яблочкова;Яблочкова
Ясеневая улица;Ясеневая
Улица Яхонтова;Яхонтова
село Дядьково;Дядьково
Солотча;Солотча
деревня Турлатово;Турлатово
Улица Княжье Поле;Рыбновская
7-й микрорайон;7 мкр
7-й микрорайон;мкр. 7
микрорайон Олимпийский городок;Олимпийский городок
улица 8 Марта;8 Марта
